x	y	cluster	word
0.48214611411094666	-19.517383575439453	10	her
-0.4891496002674103	-19.52602767944336	10	she
-4.360651016235352	-18.298364639282227	10	She
-20.62741470336914	17.31552505493164	3	~
11.715250968933105	-7.358625411987305	9	women
10.393412590026855	-25.155271530151367	6	beautiful
8.191925048828125	-12.212468147277832	5	class
7.096749305725098	17.09493064880371	8	Health
0.7876377105712891	-27.389436721801758	2	hot
-4.707377910614014	-19.94087028503418	5	couple
4.0710530281066895	-14.593093872070312	5	date
8.095752716064453	-16.366662979125977	5	photos
-0.20416036248207092	-25.194026947021484	2	girl
2.798722505569458	-21.42742156982422	2	woman
12.393906593322754	-8.81694507598877	5	model
0.3266027271747589	-22.216903686523438	5	pictures
14.773177146911621	-16.578838348388672	6	hair
0.534058690071106	-26.59432029724121	2	girls
2.5883164405822754	21.705339431762695	8	Women
24.91199493408203	0.3173871636390686	9	skin
-5.622628688812256	-21.1131649017334	5	wonderful
-7.172817707061768	-18.668537139892578	5	info
-0.2594760060310364	-18.65359115600586	9	mother
24.894681930541992	-12.519941329956055	6	wedding
3.9584197998046875	-18.23845863342285	5	stories
8.051831245422363	-7.468454837799072	9	relationship
-5.095634937286377	26.35468864440918	8	Food
-16.802146911621094	5.088351249694824	4	Her
-13.522855758666992	3.36323618888855	4	Hot
24.992916107177734	-3.3626797199249268	5	rooms
23.08925437927246	-0.34778884053230286	9	cell
11.7693510055542	-13.52480697631836	5	shopping
-31.367263793945312	4.688888072967529	10	Mary
21.01934814453125	2.863186836242676	9	cancer
6.645885467529297	-11.64787769317627	5	updated
-4.233729839324951	-23.760345458984375	1	sweet
17.05889892578125	-5.488246440887451	5	models
21.118221282958984	-10.998930931091309	5	kitchen
2.0778281688690186	-20.089380264282227	9	older
12.732574462890625	26.81080436706543	0	Wedding
-10.42934799194336	40.486331939697266	7	FREE
-13.35288143157959	17.209611892700195	8	Plus
27.939069747924805	-10.699015617370605	6	shoes
1.856610655784607	21.30462074279785	8	Model
13.61230754852295	-24.78817367553711	6	fashion
9.567704200744629	-22.087242126464844	6	cute
14.340285301208496	-24.248926162719727	6	dress
21.907581329345703	-18.949039459228516	6	colors
20.31304359436035	-5.2303338050842285	5	shipping
3.139366388320923	-16.169673919677734	5	sharing
